50 50
##################################################
#                                                #
#                                                #
#                                                #
#                                                #
#                                                #
#                                                #
#                                                #
#                                                #
#                                                #
#                                                #
#                                                #
#                                                #
#                                                #
#                                                #
#                                                #
#                                                #
#                                                #
#                 #########                      #
#              ####.......#                      #
#              .....#####.#                      #
#              ####.#.xs#g#                      #
#              ggg#.#.p.###                      #
#              ggg#.#..b#                        #
#              ggg..#d###                        #
#              ggg#...#                          #
#              ggg#####                          #
#                                                #
#                                                #
#                                                #
#                                                #
#                                                #
#                                                #
#                                                #
#                                                #
#                                                #
#                                                #
#                                                #
#                                                #
#                                                #
#                                                #
#                                                #
#                                                #
#                                                #
#                                                #
#                                                #
#                                                #
#                                                #
#                                                #
##################################################
